,50.006 User Interface Design and Implementation,50.007 Machine Learning,50.012 Networks,50.017 Graphics and Visualisation,50.020 Network Security,50.021 Artificial Intelligence,50.033 Foundations of Game Design and Development,50.035 Computer Vision,50.036 Foundations of Distributed Autonomous Systems,50.037 Blockchain Technology,50.038 Computational Data Science,50.039 Theory and Practice of Deep Learning,50.040 Natural Language Processing,50.041 Distributed Systems and Computing,50.042 Foundations of Cybersecurity,50.043 Database Systems,50.044 System Security,50.045 Information Retrieval,50.046 Cloud Computing and Internet of Things,50.047 Mobile Robotics,50.048 Computational Fabrication,Service Design Studio,01.116 AI for Healthcare (Term 7),01.117 Brain-Inspired Computing and its Applications (Term 8),40.230 Sustainable Engineering,40.232 Water Resources Management,40.240 Investment Science,40.242 Derivative Pricing and Risk Management,40.260 Supply Chain Management,40.302 Advanced Topics in Optimisation#,40.305 Advanced Topics in Stochastic Modelling#,40.316 Game Theory,40.317 Financial Systems Design,40.318 Supply Chain Digitalisation and Design,40.319 Statistical and Machine Learning,40.320 Airport Systems Planning and Design,40.321 Airport Systems Modelling and Simulation,40.323 Equity Valuation,40.324 Fundamentals of Investing,01.102 Energy Systems and Management,01.104 Networked Life,01.107 Urban Transportation
allow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191146313955721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alternative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0923220540688828
american,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05558639883949964,0.0,0.0,0.0,0.0,0.07738963305042011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyse,0.0,0.0,0.0,0.0,0.035910433784180566,0.0,0.0,0.0,0.0,0.0,0.041483996553108346,0.0,0.0,0.06153791098451558,0.07409492329276583,0.0,0.048376253093507154,0.0,0.0,0.0,0.0,0.0,0.03125988075997936,0.0,0.0,0.10445922564008044,0.0,0.0,0.0,0.0,0.07176769954506707,0.06665101498503107,0.0,0.0,0.0,0.0,0.02286266294854787,0.0,0.0,0.11212059483267951,0.0,0.0
analysis,0.0,0.0,0.08912218583208514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04002526925851082,0.0,0.025319385786358065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04391598411156402,0.0,0.042207761102055916,0.05865572785453109,0.0,0.04664224837534078,0.0,0.04141478484022038,0.0,0.0,0.06430732433683559,0.0,0.0739115630577989,0.0,0.0800926898165338,0.0,0.12394217203988221,0.0,0.0,0.0,0.0
analytic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10334637082465813,0.0506714178829586,0.0,0.0,0.0
analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615055047983906,0.0,0.0,0.0,0.0,0.0466031661943438,0.0,0.0,0.04064549697147361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyze,0.028187516112260773,0.0,0.04456109291604257,0.0,0.0,0.0,0.0,0.0,0.11233971847725073,0.0,0.0,0.0,0.025319385786358065,0.0,0.0,0.0,0.04667516914159054,0.0,0.0,0.0,0.10165179280146439,0.04391598411156402,0.0,0.08441552220411183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043000142664758476,0.0400463449082669,0.0,0.0,0.03038483859007438,0.0,0.08184089225398111,0.0
anarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1191146313955721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ancillary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07417670788949018,0.0,0.0,0.0,0.0,0.0,0.0
animation,0.0,0.0,0.0,0.21193415920175723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342978368549335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11442906167506646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06824117296233291,0.0
app,0.05221093594381551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06906555922456485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03678634247426659,0.0,0.0,0.0,0.0,0.0
application,0.0,0.05534891150332496,0.13193981858770468,0.1270420832040834,0.07694061192960039,0.0229845146321155,0.0330317686275957,0.02056738781084617,0.0,0.1096933747474799,0.029627453117239126,0.013359461499625153,0.0,0.04394975711398662,0.026458924506845304,0.13469361411441863,0.0,0.050791410187354565,0.039158204128119926,0.0,0.0,0.09752229912253119,0.06697647733731035,0.0,0.04341806711764053,0.037301864182161255,0.0,0.0,0.0,0.09369430515732842,0.05125576921889551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24232063826151598,0.0
